FIPS,State Name,State,2015 Food Insecurity Rate,# of Food Insecure Persons in 2015 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child Food Insecurity Rate,# of Food Insecure Children in 2015,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2015,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2015,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year,
22,Louisiana,LA,0.169,789330,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.151,0.274,0.234,261230,0.72,0.28,2.81,397791000,2015,
23,Maine,ME,0.148,196210,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.63,,0.37,0.214,54830,0.64,0.36,3.31,116402000,2015,
24,Maryland,MD,0.114,682280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.62,,0.38,0.163,220010,0.59,0.41,3.03,370097000,2015,
25,Massachusetts,MA,0.103,701630,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.669,,0.332,0.135,187290,0.68,0.32,3.25,408919000,2015,
26,Michigan,MI,0.151,1493790,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.739,,0.261,0.18,397070,0.7,0.3,2.76,739172000,2015,
27,Minnesota,MN,0.099,540820,1.65,SNAP,1.85,Other Nutrition Program,0.602,0.061,0.337,0.138,177080,0.7,0.3,2.91,282661000,2015,
28,Mississippi,MS,0.215,643390,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.171,0.254,0.263,191750,0.75,0.25,2.88,332456000,2015,
29,Missouri,MO,0.156,947900,1.3,SNAP,1.85,Other Nutrition Program,0.504,0.187,0.309,0.186,258610,0.66,0.34,2.73,464284000,2015,
30,Montana,MT,0.13,133810,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.666,,0.334,0.188,42480,0.6,0.4,2.86,68716000,2015,
31,Nebraska,NE,0.123,233350,1.3,SNAP,1.85,Other Nutrition Program,0.448,0.159,0.394,0.183,85970,0.61,0.39,2.77,115937000,2015,
32,Nevada,NV,0.137,394910,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.749,,0.251,0.224,149460,0.66,0.34,2.98,210694000,2015,
33,New Hampshire,NH,0.097,128910,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.501,,0.499,0.129,33940,0.51,0.49,3.16,73100000,2015,
34,New Jersey,NJ,0.108,971920,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.688,,0.312,0.149,298010,0.68,0.32,3.04,530406000,2015,
35,New Mexico,NM,0.16,332610,1.65,SNAP,1.85,Other Nutrition Program,0.709,0.061,0.229,0.25,124980,0.73,0.27,2.79,166502000,2015,
36,New York,NY,0.126,2502250,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.743,,0.257,0.194,819460,0.67,0.33,3.06,1371215000,2015,
37,North Carolina,NC,0.165,1659050,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.747,,0.253,0.226,516120,0.73,0.27,2.84,844234000,2015,
38,North Dakota,ND,0.077,58030,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.601,,0.399,0.094,16130,0.54,0.46,2.94,30625000,2015,
39,Ohio,OH,0.16,1852870,1.3,SNAP,1.85,Other Nutrition Program,0.522,0.155,0.322,0.219,575020,0.67,0.33,2.72,903221000,2015,
40,Oklahoma,OK,0.162,632030,1.3,SNAP,1.85,Other Nutrition Program,0.511,0.176,0.314,0.226,216980,0.66,0.34,2.82,320046000,2015,
41,Oregon,OR,0.142,572790,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.744,,0.256,0.225,194070,0.65,0.35,2.91,298910000,2015,
42,Pennsylvania,PA,0.131,1674420,1.6,SNAP,1.85,Other Nutrition Program,0.571,0.079,0.35,0.179,482130,0.67,0.33,2.93,880598000,2015,
44,Rhode Island,RI,0.125,132090,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.683,,0.317,0.181,38430,0.71,0.29,3.04,71928000,2015,
45,South Carolina,SC,0.153,746810,1.3,SNAP,1.85,Other Nutrition Program,0.552,0.189,0.259,0.207,225550,0.69,0.31,2.83,378951000,2015,
46,South Dakota,SD,0.121,104140,1.3,SNAP,1.85,Other Nutrition Program,0.485,0.149,0.366,0.18,37670,0.64,0.36,2.94,54897000,2015,
47,Tennessee,TN,0.154,1016420,1.3,SNAP,1.85,Other Nutrition Program,0.558,0.19,0.251,0.211,315370,0.73,0.27,2.94,535957000,2015,
48,Texas,TX,0.157,4320050,1.65,SNAP,1.85,Other Nutrition Program,0.633,0.056,0.31,0.238,1713430,0.66,0.34,2.59,2007143000,2015,
49,Utah,UT,0.131,391610,1.3,SNAP,1.85,Other Nutrition Program,0.44,0.188,0.372,0.164,149790,0.57,0.43,2.79,195913000,2015,
50,Vermont,VT,0.119,74600,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.649,,0.351,0.157,18820,0.62,0.38,3.39,45311000,2015,
51,Virginia,VA,0.112,935480,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.185,0.328,0.144,268670,0.64,0.36,3.03,508587000,2015,
53,Washington,WA,0.128,915550,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.694,,0.306,0.19,306560,0.64,0.36,2.98,489610000,2015,
54,West Virginia,WV,0.149,275280,1.3,SNAP,1.85,Other Nutrition Program,0.527,0.17,0.302,0.208,79050,0.68,0.32,2.68,132485000,2015,
55,Wisconsin,WI,0.11,633170,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.701,,0.299,0.17,219280,0.65,0.35,2.71,307507000,2015,
56,Wyoming,WY,0.123,72260,1.3,SNAP,1.85,Other Nutrition Program,0.419,0.171,0.41,0.169,23550,0.56,0.44,3.01,38980000,2015,
