"State","Year","avg_cost_per_meal","counties","Price","Region"
"Hawaii",2015,3.23,1,3536.85,"Other"
"Hawaii",2016,3.27,1,3580.65,"Other"
"Hawaii",2017,3.3,1,3613.5,"Other"
"Hawaii",2018,3.39,1,3712.05,"Other"
"Hawaii",2019,3.762,5,4119.39,"Other"
"Hawaii",2020,4.178,5,4574.91,"Other"
"Hawaii",2021,5.196,5,5689.62,"Other"
"Hawaii",2022,5.62,5,6153.9,"Other"
"Iowa",2015,2.67,1,2923.65,"Other"
"Iowa",2016,2.72,1,2978.4,"Other"
"Iowa",2017,2.7,1,2956.5,"Other"
"Iowa",2018,2.79,1,3055.05,"Other"
"Iowa",2019,3.03414141414141,99,3322.38484848485,"Other"
"Iowa",2020,3.18414141414141,99,3486.63484848485,"Other"
"Iowa",2021,3.5840404040404,99,3924.52424242424,"Other"
"Iowa",2022,3.94464646464646,99,4319.38787878788,"Other"
"Idaho",2015,2.92,1,3197.4,"Other"
"Idaho",2016,2.93,1,3208.35,"Other"
"Idaho",2017,2.94,1,3219.3,"Other"
"Idaho",2018,3.04,1,3328.8,"Other"
"Idaho",2019,3.26477272727273,44,3574.92613636364,"Other"
"Idaho",2020,3.67772727272727,44,4027.11136363636,"Other"
"Idaho",2021,4.05045454545455,44,4435.24772727273,"Other"
"Idaho",2022,4.47727272727273,44,4902.61363636364,"Other"
"Illinois",2015,2.72,1,2978.4,"Other"
"Illinois",2016,2.77,1,3033.15,"Other"
"Illinois",2017,2.8,1,3066,"Other"
"Illinois",2018,2.9,1,3175.5,"Other"
"Illinois",2019,2.91088235294118,102,3187.41617647059,"Other"
"Illinois",2020,3.08343137254902,102,3376.35735294118,"Other"
"Illinois",2021,3.48323529411765,102,3814.14264705882,"Other"
"Illinois",2022,3.90029411764706,102,4270.82205882353,"Other"
"Indiana",2015,2.61,1,2857.95,"Other"
"Indiana",2016,2.62,1,2868.9,"Other"
"Indiana",2017,2.62,1,2868.9,"Other"
"Indiana",2018,2.68,1,2934.6,"Other"
"Indiana",2019,2.84076086956522,92,3110.63315217391,"Other"
"Indiana",2020,2.95076086956522,92,3231.08315217391,"Other"
"Indiana",2021,3.28413043478261,92,3596.12282608696,"Other"
"Indiana",2022,3.6929347826087,92,4043.76358695652,"Other"
"Kansas",2015,2.84,1,3109.8,"Other"
"Kansas",2016,2.89,1,3164.55,"Other"
"Kansas",2017,2.86,1,3131.7,"Other"
"Kansas",2018,2.91,1,3186.45,"Other"
"Kansas",2019,3.082,105,3374.79,"Other"
"Kansas",2020,3.14552380952381,105,3444.34857142857,"Other"
"Kansas",2021,3.52857142857143,105,3863.78571428571,"Other"
"Kansas",2022,3.95190476190476,105,4327.33571428571,"Other"
"Kentucky",2015,2.67,1,2923.65,"Other"
"Kentucky",2016,2.7,1,2956.5,"Other"
"Kentucky",2017,2.66,1,2912.7,"Other"
"Kentucky",2018,2.68,1,2934.6,"Other"
"Kentucky",2019,2.84858333333333,120,3119.19875,"Other"
"Kentucky",2020,2.906,120,3182.07,"Other"
"Kentucky",2021,3.22716666666667,120,3533.7475,"Other"
"Kentucky",2022,3.60508333333333,120,3947.56625,"Other"
"Louisiana",2015,2.81,1,3076.95,"Other"
"Louisiana",2016,2.89,1,3164.55,"Other"
"Louisiana",2017,3.01,1,3295.95,"Other"
"Louisiana",2018,3.05,1,3339.75,"Other"
"Louisiana",2019,3.04828125,64,3337.86796875,"Other"
"Louisiana",2020,3.171875,64,3473.203125,"Other"
"Louisiana",2021,3.52625,64,3861.24375,"Other"
"Louisiana",2022,3.93515625,64,4308.99609375,"Other"
"Massachusetts",2015,3.25,1,3558.75,"Other"
"Massachusetts",2016,3.38,1,3701.1,"Other"
"Massachusetts",2017,3.55,1,3887.25,"Other"
"Massachusetts",2018,3.63,1,3974.85,"Other"
"Massachusetts",2019,3.93357142857143,14,4307.26071428571,"Other"
"Massachusetts",2020,4.20142857142857,14,4600.56428571429,"Other"
"Massachusetts",2021,4.44714285714286,14,4869.62142857143,"Other"
"Massachusetts",2022,4.87857142857143,14,5342.03571428571,"Other"
"Maryland",2015,3.03,1,3317.85,"Other"
"Maryland",2016,3.1,1,3394.5,"Other"
"Maryland",2017,3.14,1,3438.3,"Other"
"Maryland",2018,3.2,1,3504,"Other"
"Maryland",2019,3.38708333333333,24,3708.85625,"Other"
"Maryland",2020,3.58166666666667,24,3921.925,"Other"
"Maryland",2021,3.90458333333333,24,4275.51875,"Other"
"Maryland",2022,4.31333333333333,24,4723.1,"Other"
"Maine",2015,3.31,1,3624.45,"Other"
"Maine",2016,3.45,1,3777.75,"Other"
"Maine",2017,3.5,1,3832.5,"Other"
"Maine",2018,3.61,1,3952.95,"Other"
"Maine",2019,3.91,16,4281.45,"Other"
"Maine",2020,3.905,16,4275.975,"Other"
"Maine",2021,4.078125,16,4465.546875,"Other"
"Maine",2022,4.4425,16,4864.5375,"Other"
"Michigan",2015,2.76,1,3022.2,"Other"
"Michigan",2016,2.81,1,3076.95,"Other"
"Michigan",2017,2.79,1,3055.05,"Other"
"Michigan",2018,2.84,1,3109.8,"Other"
"Michigan",2019,3.10566265060241,83,3400.70060240964,"Other"
"Michigan",2020,3.26289156626506,83,3572.86626506024,"Other"
"Michigan",2021,3.56409638554217,83,3902.68554216867,"Other"
"Michigan",2022,3.94807228915663,83,4323.13915662651,"Other"
"Minnesota",2015,2.91,1,3186.45,"Other"
"Minnesota",2016,2.97,1,3252.15,"Other"
"Minnesota",2017,3,1,3285,"Other"
"Minnesota",2018,3.08,1,3372.6,"Other"
"Minnesota",2019,3.22735632183908,87,3533.95517241379,"Other"
"Minnesota",2020,3.3132183908046,87,3627.97413793103,"Other"
"Minnesota",2021,3.75712643678161,87,4114.05344827586,"Other"
"Minnesota",2022,4.18149425287356,87,4578.73620689655,"Other"
"Missouri",2015,2.73,1,2989.35,"Other"
"Missouri",2016,2.8,1,3066,"Other"
"Missouri",2017,2.78,1,3044.1,"Other"
"Missouri",2018,2.87,1,3142.65,"Other"
"Missouri",2019,2.95104347826087,115,3231.39260869565,"Other"
"Missouri",2020,3.05208695652174,115,3342.0352173913,"Other"
"Missouri",2021,3.44217391304348,115,3769.18043478261,"Other"
"Missouri",2022,3.858,115,4224.51,"Other"
"Mississippi",2015,2.88,1,3153.6,"Other"
"Mississippi",2016,2.97,1,3252.15,"Other"
"Mississippi",2017,2.93,1,3208.35,"Other"
"Mississippi",2018,2.9,1,3175.5,"Other"
"Mississippi",2019,3.07073170731707,82,3362.4512195122,"Other"
"Mississippi",2020,3.14560975609756,82,3444.44268292683,"Other"
"Mississippi",2021,3.42817073170732,82,3753.84695121951,"Other"
"Mississippi",2022,3.83878048780488,82,4203.46463414634,"Other"
"Montana",2015,2.86,1,3131.7,"Other"
"Montana",2016,2.91,1,3186.45,"Other"
"Montana",2017,2.96,1,3241.2,"Other"
"Montana",2018,3.02,1,3306.9,"Other"
"Montana",2019,3.22928571428571,56,3536.06785714286,"Other"
"Montana",2020,3.31767857142857,56,3632.85803571429,"Other"
"Montana",2021,3.74196428571429,56,4097.45089285714,"Other"
"Montana",2022,4.16196428571429,56,4557.35089285714,"Other"
"North Carolina",2015,2.84,1,3109.8,"Other"
"North Carolina",2016,2.88,1,3153.6,"Other"
"North Carolina",2017,2.87,1,3142.65,"Other"
"North Carolina",2018,2.92,1,3197.4,"Other"
"North Carolina",2019,3.0719,100,3363.7305,"Other"
"North Carolina",2020,3.2135,100,3518.7825,"Other"
"North Carolina",2021,3.5601,100,3898.3095,"Other"
"North Carolina",2022,3.9746,100,4352.187,"Other"
"North Dakota",2015,2.94,1,3219.3,"Other"
"North Dakota",2016,3.06,1,3350.7,"Other"
"North Dakota",2017,3.07,1,3361.65,"Other"
"North Dakota",2018,3.11,1,3405.45,"Other"
"North Dakota",2019,3.35698113207547,53,3675.89433962264,"Other"
"North Dakota",2020,3.27735849056604,53,3588.70754716981,"Other"
"North Dakota",2021,3.64641509433962,53,3992.82452830189,"Other"
"North Dakota",2022,4.06754716981132,53,4453.9641509434,"Other"
"Nebraska",2015,2.77,1,3033.15,"Other"
"Nebraska",2016,2.83,1,3098.85,"Other"
"Nebraska",2017,2.83,1,3098.85,"Other"
"Nebraska",2018,2.86,1,3131.7,"Other"
"Nebraska",2019,3.09870967741935,93,3393.08709677419,"Other"
"Nebraska",2020,3.13043010752688,93,3427.82096774194,"Other"
"Nebraska",2021,3.4889247311828,93,3820.37258064516,"Other"
"Nebraska",2022,3.83193548387097,93,4195.96935483871,"Other"
"New Hampshire",2015,3.16,1,3460.2,"Other"
"New Hampshire",2016,3.25,1,3558.75,"Other"
"New Hampshire",2017,3.31,1,3624.45,"Other"
"New Hampshire",2018,3.4,1,3723,"Other"
"New Hampshire",2019,3.727,10,4081.065,"Other"
"New Hampshire",2020,3.83,10,4193.85,"Other"
"New Hampshire",2021,3.972,10,4349.34,"Other"
"New Hampshire",2022,4.358,10,4772.01,"Other"
"New Jersey",2015,3.04,1,3328.8,"Other"
"New Jersey",2016,3.16,1,3460.2,"Other"
"New Jersey",2017,3.24,1,3547.8,"Other"
"New Jersey",2018,3.34,1,3657.3,"Other"
"New Jersey",2019,3.63142857142857,21,3976.41428571429,"Other"
"New Jersey",2020,3.8747619047619,21,4242.86428571429,"Other"
"New Jersey",2021,4.06190476190476,21,4447.78571428571,"Other"
"New Jersey",2022,4.48666666666667,21,4912.9,"Other"
"New Mexico",2015,2.79,1,3055.05,"Other"
"New Mexico",2016,2.86,1,3131.7,"Other"
"New Mexico",2017,2.87,1,3142.65,"Other"
"New Mexico",2018,2.91,1,3186.45,"Other"
"New Mexico",2019,3.15848484848485,33,3458.54090909091,"Other"
"New Mexico",2020,3.25969696969697,33,3569.36818181818,"Other"
"New Mexico",2021,3.59515151515152,33,3936.69090909091,"Other"
"New Mexico",2022,3.96121212121212,33,4337.52727272727,"Other"
"Nevada",2015,2.98,1,3263.1,"Other"
"Nevada",2016,3.01,1,3295.95,"Other"
"Nevada",2017,3.05,1,3339.75,"Other"
"Nevada",2018,3.15,1,3449.25,"Other"
"Nevada",2019,3.31117647058824,17,3625.73823529412,"Other"
"Nevada",2020,3.42411764705882,17,3749.40882352941,"Other"
"Nevada",2021,3.73411764705882,17,4088.85882352941,"Other"
"Nevada",2022,4.13176470588235,17,4524.28235294118,"Other"
"New York",2015,3.06,1,3350.7,"Other"
"New York",2016,3.09,1,3383.55,"Other"
"New York",2017,3.14,1,3438.3,"Other"
"New York",2018,3.23,1,3536.85,"Other"
"New York",2019,3.35774193548387,62,3676.72741935484,"Other"
"New York",2020,3.60209677419355,62,3944.29596774194,"Other"
"New York",2021,3.87435483870968,62,4242.4185483871,"Other"
"New York",2022,4.28225806451613,62,4689.07258064516,"Other"
"Ohio",2015,2.72,1,2978.4,"Other"
"Ohio",2016,2.76,1,3022.2,"Other"
"Ohio",2017,2.76,1,3022.2,"Other"
"Ohio",2018,2.79,1,3055.05,"Other"
"Ohio",2019,2.90806818181818,88,3184.33465909091,"Other"
"Ohio",2020,3.05897727272727,88,3349.58011363636,"Other"
"Ohio",2021,3.45568181818182,88,3783.97159090909,"Other"
"Ohio",2022,3.85659090909091,88,4222.96704545455,"Other"
"Oklahoma",2015,2.82,1,3087.9,"Other"
"Oklahoma",2016,2.88,1,3153.6,"Other"
"Oklahoma",2017,2.87,1,3142.65,"Other"
"Oklahoma",2018,2.89,1,3164.55,"Other"
"Oklahoma",2019,3.04753246753247,77,3337.04805194805,"Other"
"Oklahoma",2020,3.16441558441558,77,3465.03506493506,"Other"
"Oklahoma",2021,3.52025974025974,77,3854.68441558442,"Other"
"Oklahoma",2022,3.94298701298701,77,4317.57077922078,"Other"
"Oregon",2015,2.91,1,3186.45,"Other"
"Oregon",2016,2.93,1,3208.35,"Other"
"Oregon",2017,2.97,1,3252.15,"Other"
"Oregon",2018,3.13,1,3427.35,"Other"
"Oregon",2019,3.42111111111111,36,3746.11666666667,"Other"
"Oregon",2020,3.60638888888889,36,3948.99583333333,"Other"
"Oregon",2021,4.00916666666667,36,4390.0375,"Other"
"Oregon",2022,4.3225,36,4733.1375,"Other"
"Pennsylvania",2015,2.93,1,3208.35,"Other"
"Pennsylvania",2016,3.01,1,3295.95,"Other"
"Pennsylvania",2017,3.04,1,3328.8,"Other"
"Pennsylvania",2018,3.11,1,3405.45,"Other"
"Pennsylvania",2019,3.20611940298507,67,3510.70074626866,"Other"
"Pennsylvania",2020,3.39686567164179,67,3719.56791044776,"Other"
"Pennsylvania",2021,3.68805970149254,67,4038.42537313433,"Other"
"Pennsylvania",2022,4.09134328358209,67,4480.02089552239,"Other"
"Rhode Island",2015,3.04,1,3328.8,"Other"
"Rhode Island",2016,3.12,1,3416.4,"Other"
"Rhode Island",2017,3.23,1,3536.85,"Other"
"Rhode Island",2018,3.38,1,3701.1,"Other"
"Rhode Island",2019,3.954,5,4329.63,"Other"
"Rhode Island",2020,4.174,5,4570.53,"Other"
"Rhode Island",2021,4.356,5,4769.82,"Other"
"Rhode Island",2022,4.732,5,5181.54,"Other"
"South Carolina",2015,2.83,1,3098.85,"Other"
"South Carolina",2016,2.86,1,3131.7,"Other"
"South Carolina",2017,2.8,1,3066,"Other"
"South Carolina",2018,2.87,1,3142.65,"Other"
"South Carolina",2019,3.01130434782609,46,3297.37826086957,"Other"
"South Carolina",2020,3.15565217391304,46,3455.43913043478,"Other"
"South Carolina",2021,3.40978260869565,46,3733.71195652174,"Other"
"South Carolina",2022,3.80782608695652,46,4169.56956521739,"Other"
"South Dakota",2015,2.94,1,3219.3,"Other"
"South Dakota",2016,3.01,1,3295.95,"Other"
"South Dakota",2017,3.02,1,3306.9,"Other"
"South Dakota",2018,3.01,1,3295.95,"Other"
"South Dakota",2019,3.27181818181818,66,3582.64090909091,"Other"
"South Dakota",2020,3.37833333333333,66,3699.275,"Other"
"South Dakota",2021,3.78424242424242,66,4143.74545454545,"Other"
"South Dakota",2022,4.16227272727273,66,4557.68863636364,"Other"
"Tennessee",2015,2.94,1,3219.3,"Other"
"Tennessee",2016,3,1,3285,"Other"
"Tennessee",2017,2.96,1,3241.2,"Other"
"Tennessee",2018,3.03,1,3317.85,"Other"
"Tennessee",2019,3.15189473684211,95,3451.3247368421,"Other"
"Tennessee",2020,3.26115789473684,95,3570.96789473684,"Other"
"Tennessee",2021,3.56189473684211,95,3900.27473684211,"Other"
"Tennessee",2022,3.99789473684211,95,4377.69473684211,"Other"
"Texas",2015,2.59,1,2836.05,"Other"
"Texas",2016,2.67,1,2923.65,"Other"
"Texas",2017,2.71,1,2967.45,"Other"
"Texas",2018,2.64,1,2890.8,"Other"
"Texas",2019,2.87972440944882,254,3153.29822834646,"Other"
"Texas",2020,2.93066929133858,254,3209.08287401575,"Other"
"Texas",2021,3.24744094488189,254,3555.94783464567,"Other"
"Texas",2022,3.56984251968504,254,3908.97755905512,"Other"
"Utah",2015,2.79,1,3055.05,"Other"
"Utah",2016,2.82,1,3087.9,"Other"
"Utah",2017,2.81,1,3076.95,"Other"
"Utah",2018,2.91,1,3186.45,"Other"
"Utah",2019,3.20793103448276,29,3512.68448275862,"Other"
"Utah",2020,3.18724137931034,29,3490.02931034483,"Other"
"Utah",2021,3.58206896551724,29,3922.36551724138,"Other"
"Utah",2022,4.00724137931034,29,4387.92931034483,"Other"
"Virginia",2015,3.03,1,3317.85,"Other"
"Virginia",2016,3.07,1,3361.65,"Other"
"Virginia",2017,3.03,1,3317.85,"Other"
"Virginia",2018,3.1,1,3394.5,"Other"
"Virginia",2019,3.2487969924812,133,3557.43270676692,"Other"
"Virginia",2020,3.36857142857143,133,3688.58571428571,"Other"
"Virginia",2021,3.67187969924812,133,4020.70827067669,"Other"
"Virginia",2022,4.10864661654135,133,4498.96804511278,"Other"
"Vermont",2015,3.39,1,3712.05,"Other"
"Vermont",2016,3.39,1,3712.05,"Other"
"Vermont",2017,3.38,1,3701.1,"Other"
"Vermont",2018,3.5,1,3832.5,"Other"
"Vermont",2019,3.93142857142857,14,4304.91428571429,"Other"
"Vermont",2020,4.04571428571429,14,4430.05714285714,"Other"
"Vermont",2021,4.23714285714286,14,4639.67142857143,"Other"
"Vermont",2022,4.59285714285714,14,5029.17857142857,"Other"
"Washington",2015,2.98,1,3263.1,"Other"
"Washington",2016,3.01,1,3295.95,"Other"
"Washington",2017,3.04,1,3328.8,"Other"
"Washington",2018,3.22,1,3525.9,"Other"
"Washington",2019,3.42974358974359,39,3755.56923076923,"Other"
"Washington",2020,3.69025641025641,39,4040.83076923077,"Other"
"Washington",2021,3.92897435897436,39,4302.22692307692,"Other"
"Washington",2022,4.31153846153846,39,4721.13461538462,"Other"
"Wisconsin",2015,2.71,1,2967.45,"Other"
"Wisconsin",2016,2.79,1,3055.05,"Other"
"Wisconsin",2017,2.77,1,3033.15,"Other"
"Wisconsin",2018,2.84,1,3109.8,"Other"
"Wisconsin",2019,3.09069444444444,72,3384.31041666667,"Other"
"Wisconsin",2020,3.22777777777778,72,3534.41666666667,"Other"
"Wisconsin",2021,3.63055555555556,72,3975.45833333333,"Other"
"Wisconsin",2022,4.09569444444444,72,4484.78541666667,"Other"
"West Virginia",2015,2.68,1,2934.6,"Other"
"West Virginia",2016,2.77,1,3033.15,"Other"
"West Virginia",2017,2.71,1,2967.45,"Other"
"West Virginia",2018,2.7,1,2956.5,"Other"
"West Virginia",2019,2.94163636363636,55,3221.09181818182,"Other"
"West Virginia",2020,3.02181818181818,55,3308.89090909091,"Other"
"West Virginia",2021,3.34036363636364,55,3657.69818181818,"Other"
"West Virginia",2022,3.72927272727273,55,4083.55363636364,"Other"
"Wyoming",2015,3.01,1,3295.95,"Other"
"Wyoming",2016,3.06,1,3350.7,"Other"
"Wyoming",2017,3.05,1,3339.75,"Other"
"Wyoming",2018,3.12,1,3416.4,"Other"
"Wyoming",2019,3.33652173913043,23,3653.49130434783,"Other"
"Wyoming",2020,3.43217391304348,23,3758.23043478261,"Other"
"Wyoming",2021,3.79652173913043,23,4157.19130434783,"Other"
"Wyoming",2022,4.19478260869565,23,4593.28695652174,"Other"
