FIPS,State,"County, State",Year,Cost Per Meal, Weighted weekly $ needed by FI , Weighted Annual Food Budget Shortfall 
1039,AL,"Covington County, Alabama",2020,$3.05 ,$16.20 ,"$2,988,000.00 "
1039,AL,"Covington County, Alabama",2021,$3.32 ,$19.36 ,"$3,500,000.00 "
1039,AL,"Covington County, Alabama",2022,$3.77 ,$23.35 ,"$5,107,000.00 "
1041,AL,"Crenshaw County, Alabama",2019,$3.28 ,$18.50 ,"$1,207,000.00 "
1041,AL,"Crenshaw County, Alabama",2020,$3.58 ,$19.02 ,"$1,218,000.00 "
1041,AL,"Crenshaw County, Alabama",2021,$3.90 ,$22.69 ,"$1,218,000.00 "
1041,AL,"Crenshaw County, Alabama",2022,$4.28 ,$26.50 ,"$1,737,000.00 "
1043,AL,"Cullman County, Alabama",2019,$3.11 ,$17.50 ,"$7,226,000.00 "
1043,AL,"Cullman County, Alabama",2020,$3.36 ,$17.83 ,"$6,631,000.00 "
1043,AL,"Cullman County, Alabama",2021,$3.69 ,$21.50 ,"$8,196,000.00 "
1043,AL,"Cullman County, Alabama",2022,$4.16 ,$25.80 ,"$12,003,000.00 "
1045,AL,"Dale County, Alabama",2019,$3.21 ,$18.12 ,"$4,830,000.00 "
1045,AL,"Dale County, Alabama",2020,$3.15 ,$16.71 ,"$4,278,000.00 "
1045,AL,"Dale County, Alabama",2021,$3.52 ,$20.52 ,"$4,961,000.00 "
1045,AL,"Dale County, Alabama",2022,$3.91 ,$24.21 ,"$6,897,000.00 "
1047,AL,"Dallas County, Alabama",2019,$3.16 ,$17.81 ,"$4,014,000.00 "
1047,AL,"Dallas County, Alabama",2020,$3.24 ,$17.17 ,"$4,043,000.00 "
1047,AL,"Dallas County, Alabama",2021,$3.49 ,$20.35 ,"$3,900,000.00 "
1047,AL,"Dallas County, Alabama",2022,$3.88 ,$24.06 ,"$5,335,000.00 "
1049,AL,"DeKalb County, Alabama",2019,$3.06 ,$17.26 ,"$6,439,000.00 "
1049,AL,"DeKalb County, Alabama",2020,$3.02 ,$16.04 ,"$5,573,000.00 "
1049,AL,"DeKalb County, Alabama",2021,$3.25 ,$18.95 ,"$6,611,000.00 "
1049,AL,"DeKalb County, Alabama",2022,$3.73 ,$23.09 ,"$9,757,000.00 "
1051,AL,"Elmore County, Alabama",2019,$3.40 ,$19.18 ,"$6,563,000.00 "
1051,AL,"Elmore County, Alabama",2020,$3.44 ,$18.25 ,"$5,631,000.00 "
1051,AL,"Elmore County, Alabama",2021,$3.78 ,$22.00 ,"$6,768,000.00 "
1051,AL,"Elmore County, Alabama",2022,$4.17 ,$25.83 ,"$9,660,000.00 "
1053,AL,"Escambia County, Alabama",2019,$2.99 ,$16.82 ,"$3,353,000.00 "
1053,AL,"Escambia County, Alabama",2020,$3.09 ,$16.40 ,"$3,323,000.00 "
1053,AL,"Escambia County, Alabama",2021,$3.33 ,$19.40 ,"$3,714,000.00 "
1053,AL,"Escambia County, Alabama",2022,$3.73 ,$23.10 ,"$4,968,000.00 "
1055,AL,"Etowah County, Alabama",2019,$3.00 ,$16.92 ,"$8,851,000.00 "
1055,AL,"Etowah County, Alabama",2020,$3.23 ,$17.13 ,"$8,727,000.00 "
1055,AL,"Etowah County, Alabama",2021,$3.63 ,$21.14 ,"$9,935,000.00 "
1055,AL,"Etowah County, Alabama",2022,$4.09 ,$25.33 ,"$13,908,000.00 "
1057,AL,"Fayette County, Alabama",2019,$3.21 ,$18.10 ,"$1,697,000.00 "
1057,AL,"Fayette County, Alabama",2020,$3.02 ,$16.03 ,"$1,424,000.00 "
1057,AL,"Fayette County, Alabama",2021,$3.24 ,$18.86 ,"$1,625,000.00 "
1057,AL,"Fayette County, Alabama",2022,$3.68 ,$22.80 ,"$2,317,000.00 "
1059,AL,"Franklin County, Alabama",2019,$2.82 ,$15.92 ,"$2,477,000.00 "
1059,AL,"Franklin County, Alabama",2020,$2.83 ,$15.00 ,"$2,134,000.00 "
1059,AL,"Franklin County, Alabama",2021,$3.08 ,$17.94 ,"$2,535,000.00 "
1059,AL,"Franklin County, Alabama",2022,$3.53 ,$21.85 ,"$3,878,000.00 "
1061,AL,"Geneva County, Alabama",2019,$2.98 ,$16.80 ,"$2,665,000.00 "
1061,AL,"Geneva County, Alabama",2020,$3.10 ,$16.45 ,"$2,421,000.00 "
1061,AL,"Geneva County, Alabama",2021,$3.47 ,$20.21 ,"$3,096,000.00 "
1061,AL,"Geneva County, Alabama",2022,$3.99 ,$24.75 ,"$4,114,000.00 "
1063,AL,"Greene County, Alabama",2019,$3.37 ,$18.99 ,"$1,065,000.00 "
1063,AL,"Greene County, Alabama",2020,$3.43 ,$18.21 ,"$1,016,000.00 "
1063,AL,"Greene County, Alabama",2021,$4.02 ,$23.39 ,"$1,185,000.00 "
1063,AL,"Greene County, Alabama",2022,$4.46 ,$27.65 ,"$1,367,000.00 "
1065,AL,"Hale County, Alabama",2019,$3.35 ,$18.86 ,"$1,436,000.00 "
1065,AL,"Hale County, Alabama",2020,$3.54 ,$18.77 ,"$1,617,000.00 "
1065,AL,"Hale County, Alabama",2021,$4.02 ,$23.39 ,"$1,731,000.00 "
1065,AL,"Hale County, Alabama",2022,$4.46 ,$27.65 ,"$2,365,000.00 "
1067,AL,"Henry County, Alabama",2019,$3.29 ,$18.54 ,"$1,401,000.00 "
1067,AL,"Henry County, Alabama",2020,$3.45 ,$18.33 ,"$1,301,000.00 "
1067,AL,"Henry County, Alabama",2021,$3.85 ,$22.41 ,"$1,475,000.00 "
1067,AL,"Henry County, Alabama",2022,$4.25 ,$26.31 ,"$2,283,000.00 "
1069,AL,"Houston County, Alabama",2019,$3.32 ,$18.70 ,"$9,732,000.00 "
1069,AL,"Houston County, Alabama",2020,$3.42 ,$18.16 ,"$8,883,000.00 "
1069,AL,"Houston County, Alabama",2021,$3.81 ,$22.20 ,"$10,504,000.00 "
1069,AL,"Houston County, Alabama",2022,$4.21 ,$26.06 ,"$14,745,000.00 "
1071,AL,"Jackson County, Alabama",2019,$2.99 ,$16.86 ,"$4,801,000.00 "
1071,AL,"Jackson County, Alabama",2020,$3.05 ,$16.18 ,"$4,276,000.00 "
1071,AL,"Jackson County, Alabama",2021,$3.27 ,$19.06 ,"$5,047,000.00 "
1071,AL,"Jackson County, Alabama",2022,$3.78 ,$23.40 ,"$7,474,000.00 "
1073,AL,"Jefferson County, Alabama",2019,$3.21 ,$18.11 ,"$52,053,000.00 "
1073,AL,"Jefferson County, Alabama",2020,$3.50 ,$18.58 ,"$52,481,000.00 "
1073,AL,"Jefferson County, Alabama",2021,$4.00 ,$23.30 ,"$60,482,000.00 "
1073,AL,"Jefferson County, Alabama",2022,$4.43 ,$27.45 ,"$84,957,000.00 "
1075,AL,"Lamar County, Alabama",2019,$3.04 ,$17.12 ,"$1,345,000.00 "
1075,AL,"Lamar County, Alabama",2020,$3.02 ,$16.03 ,"$1,157,000.00 "
1075,AL,"Lamar County, Alabama",2021,$3.24 ,$18.86 ,"$1,345,000.00 "
1075,AL,"Lamar County, Alabama",2022,$3.68 ,$22.80 ,"$1,791,000.00 "
1077,AL,"Lauderdale County, Alabama",2019,$2.89 ,$16.27 ,"$7,078,000.00 "
1077,AL,"Lauderdale County, Alabama",2020,$3.01 ,$15.98 ,"$6,300,000.00 "
1077,AL,"Lauderdale County, Alabama",2021,$3.63 ,$21.16 ,"$8,178,000.00 "
1077,AL,"Lauderdale County, Alabama",2022,$3.99 ,$24.70 ,"$11,592,000.00 "
1079,AL,"Lawrence County, Alabama",2019,$3.04 ,$17.11 ,"$3,036,000.00 "
1079,AL,"Lawrence County, Alabama",2020,$3.08 ,$16.36 ,"$2,669,000.00 "
1079,AL,"Lawrence County, Alabama",2021,$3.24 ,$18.90 ,"$2,849,000.00 "
1079,AL,"Lawrence County, Alabama",2022,$3.68 ,$22.83 ,"$4,135,000.00 "
1081,AL,"Lee County, Alabama",2019,$3.47 ,$19.55 ,"$14,223,000.00 "
1081,AL,"Lee County, Alabama",2020,$3.67 ,$19.47 ,"$13,580,000.00 "
1081,AL,"Lee County, Alabama",2021,$4.07 ,$23.71 ,"$16,557,000.00 "
1081,AL,"Lee County, Alabama",2022,$4.51 ,$27.96 ,"$23,040,000.00 "
1083,AL,"Limestone County, Alabama",2019,$3.18 ,$17.91 ,"$7,356,000.00 "
1083,AL,"Limestone County, Alabama",2020,$3.49 ,$18.51 ,"$7,035,000.00 "
1083,AL,"Limestone County, Alabama",2021,$3.96 ,$23.07 ,"$8,455,000.00 "
1083,AL,"Limestone County, Alabama",2022,$4.35 ,$26.97 ,"$12,597,000.00 "
1085,AL,"Lowndes County, Alabama",2019,$3.29 ,$18.51 ,"$1,089,000.00 "
1085,AL,"Lowndes County, Alabama",2020,$3.45 ,$18.29 ,"$1,110,000.00 "
1085,AL,"Lowndes County, Alabama",2021,$3.88 ,$22.61 ,"$1,152,000.00 "
1085,AL,"Lowndes County, Alabama",2022,$4.27 ,$26.49 ,"$1,462,000.00 "
1087,AL,"Macon County, Alabama",2019,$3.25 ,$18.31 ,"$1,605,000.00 "
1087,AL,"Macon County, Alabama",2020,$3.62 ,$19.20 ,"$1,765,000.00 "
1087,AL,"Macon County, Alabama",2021,$4.01 ,$23.38 ,"$1,780,000.00 "
1087,AL,"Macon County, Alabama",2022,$4.45 ,$27.57 ,"$2,651,000.00 "
1089,AL,"Madison County, Alabama",2019,$3.16 ,$17.82 ,"$25,506,000.00 "
1089,AL,"Madison County, Alabama",2020,$3.35 ,$17.75 ,"$23,476,000.00 "
1089,AL,"Madison County, Alabama",2021,$3.80 ,$22.13 ,"$28,669,000.00 "
1089,AL,"Madison County, Alabama",2022,$4.22 ,$26.13 ,"$43,011,000.00 "
1091,AL,"Marengo County, Alabama",2019,$3.01 ,$16.97 ,"$1,724,000.00 "
1091,AL,"Marengo County, Alabama",2020,$3.25 ,$17.26 ,"$1,701,000.00 "
1091,AL,"Marengo County, Alabama",2021,$3.51 ,$20.44 ,"$1,854,000.00 "
1091,AL,"Marengo County, Alabama",2022,$3.94 ,$24.40 ,"$2,517,000.00 "
1093,AL,"Marion County, Alabama",2019,$2.98 ,$16.81 ,"$2,921,000.00 "
1093,AL,"Marion County, Alabama",2020,$3.02 ,$16.03 ,"$2,572,000.00 "
1093,AL,"Marion County, Alabama",2021,$3.24 ,$18.86 ,"$2,987,000.00 "
1093,AL,"Marion County, Alabama",2022,$3.68 ,$22.80 ,"$4,045,000.00 "
1095,AL,"Marshall County, Alabama",2019,$2.87 ,$16.17 ,"$8,035,000.00 "
1095,AL,"Marshall County, Alabama",2020,$3.06 ,$16.24 ,"$7,207,000.00 "
1095,AL,"Marshall County, Alabama",2021,$3.42 ,$19.92 ,"$8,579,000.00 "
1095,AL,"Marshall County, Alabama",2022,$3.85 ,$23.87 ,"$12,459,000.00 "
1097,AL,"Mobile County, Alabama",2019,$3.24 ,$18.25 ,"$36,157,000.00 "
1097,AL,"Mobile County, Alabama",2020,$3.34 ,$17.73 ,"$34,976,000.00 "
1097,AL,"Mobile County, Alabama",2021,$3.70 ,$21.55 ,"$37,838,000.00 "
1097,AL,"Mobile County, Alabama",2022,$4.12 ,$25.51 ,"$52,316,000.00 "
1099,AL,"Monroe County, Alabama",2019,$3.00 ,$16.93 ,"$2,178,000.00 "
1099,AL,"Monroe County, Alabama",2020,$3.12 ,$16.53 ,"$1,926,000.00 "
1099,AL,"Monroe County, Alabama",2021,$3.35 ,$19.52 ,"$1,901,000.00 "
1099,AL,"Monroe County, Alabama",2022,$3.78 ,$23.43 ,"$2,622,000.00 "
1101,AL,"Montgomery County, Alabama",2019,$3.24 ,$18.26 ,"$18,839,000.00 "
1101,AL,"Montgomery County, Alabama",2020,$3.40 ,$18.04 ,"$19,408,000.00 "
1101,AL,"Montgomery County, Alabama",2021,$3.83 ,$22.29 ,"$21,815,000.00 "
1101,AL,"Montgomery County, Alabama",2022,$4.21 ,$26.12 ,"$28,960,000.00 "
1103,AL,"Morgan County, Alabama",2019,$3.08 ,$17.36 ,"$9,401,000.00 "
1103,AL,"Morgan County, Alabama",2020,$3.31 ,$17.56 ,"$9,047,000.00 "
1103,AL,"Morgan County, Alabama",2021,$3.70 ,$21.54 ,"$11,048,000.00 "
1103,AL,"Morgan County, Alabama",2022,$4.07 ,$25.20 ,"$15,421,000.00 "
1105,AL,"Perry County, Alabama",2019,$3.31 ,$18.63 ,"$1,057,000.00 "
1105,AL,"Perry County, Alabama",2020,$3.28 ,$17.42 ,"$1,104,000.00 "
1105,AL,"Perry County, Alabama",2021,$3.54 ,$20.64 ,"$1,089,000.00 "
1105,AL,"Perry County, Alabama",2022,$3.94 ,$24.40 ,"$1,347,000.00 "
1107,AL,"Pickens County, Alabama",2019,$3.38 ,$19.04 ,"$2,085,000.00 "
1107,AL,"Pickens County, Alabama",2020,$3.46 ,$18.38 ,"$2,074,000.00 "
1107,AL,"Pickens County, Alabama",2021,$3.63 ,$21.15 ,"$2,065,000.00 "
1107,AL,"Pickens County, Alabama",2022,$4.10 ,$25.44 ,"$2,809,000.00 "
1109,AL,"Pike County, Alabama",2019,$3.40 ,$19.14 ,"$3,275,000.00 "
1109,AL,"Pike County, Alabama",2020,$3.55 ,$18.85 ,"$2,881,000.00 "
1109,AL,"Pike County, Alabama",2021,$3.86 ,$22.48 ,"$3,177,000.00 "
1109,AL,"Pike County, Alabama",2022,$4.24 ,$26.26 ,"$4,460,000.00 "
1111,AL,"Randolph County, Alabama",2019,$2.94 ,$16.58 ,"$1,770,000.00 "
1111,AL,"Randolph County, Alabama",2020,$2.96 ,$15.69 ,"$1,632,000.00 "
1111,AL,"Randolph County, Alabama",2021,$3.21 ,$18.67 ,"$1,807,000.00 "
1111,AL,"Randolph County, Alabama",2022,$3.68 ,$22.83 ,"$2,818,000.00 "
1113,AL,"Russell County, Alabama",2019,$3.19 ,$17.98 ,"$5,306,000.00 "
1113,AL,"Russell County, Alabama",2020,$3.18 ,$16.90 ,"$4,988,000.00 "
1113,AL,"Russell County, Alabama",2021,$3.53 ,$20.58 ,"$5,736,000.00 "
1113,AL,"Russell County, Alabama",2022,$3.96 ,$24.52 ,"$8,203,000.00 "
1115,AL,"St. Clair County, Alabama",2019,$3.32 ,$18.73 ,"$7,203,000.00 "
1115,AL,"St. Clair County, Alabama",2020,$3.49 ,$18.50 ,"$6,528,000.00 "
1115,AL,"St. Clair County, Alabama",2021,$3.75 ,$21.84 ,"$7,766,000.00 "
1115,AL,"St. Clair County, Alabama",2022,$4.20 ,$26.04 ,"$11,037,000.00 "
1117,AL,"Shelby County, Alabama",2019,$3.40 ,$19.15 ,"$13,183,000.00 "
1117,AL,"Shelby County, Alabama",2020,$3.69 ,$19.56 ,"$12,377,000.00 "
1117,AL,"Shelby County, Alabama",2021,$4.09 ,$23.84 ,"$15,138,000.00 "
1117,AL,"Shelby County, Alabama",2022,$4.55 ,$28.18 ,"$23,842,000.00 "
1119,AL,"Sumter County, Alabama",2019,$2.99 ,$16.87 ,"$1,295,000.00 "
1119,AL,"Sumter County, Alabama",2020,$3.14 ,$16.66 ,"$1,193,000.00 "
1119,AL,"Sumter County, Alabama",2021,$3.52 ,$20.51 ,"$1,319,000.00 "
1119,AL,"Sumter County, Alabama",2022,$3.86 ,$23.94 ,"$1,656,000.00 "
1121,AL,"Talladega County, Alabama",2019,$3.06 ,$17.24 ,"$7,076,000.00 "
1121,AL,"Talladega County, Alabama",2020,$3.16 ,$16.75 ,"$6,717,000.00 "
1121,AL,"Talladega County, Alabama",2021,$3.38 ,$19.67 ,"$7,621,000.00 "
1121,AL,"Talladega County, Alabama",2022,$3.81 ,$23.60 ,"$10,496,000.00 "
1123,AL,"Tallapoosa County, Alabama",2019,$3.18 ,$17.94 ,"$3,618,000.00 "
1123,AL,"Tallapoosa County, Alabama",2020,$3.33 ,$17.68 ,"$3,444,000.00 "
1123,AL,"Tallapoosa County, Alabama",2021,$3.56 ,$20.74 ,"$3,856,000.00 "
1123,AL,"Tallapoosa County, Alabama",2022,$4.06 ,$25.17 ,"$5,543,000.00 "
1125,AL,"Tuscaloosa County, Alabama",2019,$3.52 ,$19.81 ,"$17,823,000.00 "
1125,AL,"Tuscaloosa County, Alabama",2020,$3.60 ,$19.12 ,"$17,311,000.00 "
1125,AL,"Tuscaloosa County, Alabama",2021,$4.09 ,$23.83 ,"$20,114,000.00 "
1125,AL,"Tuscaloosa County, Alabama",2022,$4.54 ,$28.16 ,"$29,995,000.00 "
1127,AL,"Walker County, Alabama",2019,$2.85 ,$16.06 ,"$5,820,000.00 "
1127,AL,"Walker County, Alabama",2020,$3.03 ,$16.11 ,"$5,394,000.00 "
1127,AL,"Walker County, Alabama",2021,$3.40 ,$19.83 ,"$6,820,000.00 "
1127,AL,"Walker County, Alabama",2022,$3.83 ,$23.71 ,"$9,135,000.00 "
1129,AL,"Washington County, Alabama",2019,$3.26 ,$18.36 ,"$1,699,000.00 "
1129,AL,"Washington County, Alabama",2020,$3.02 ,$16.03 ,"$1,196,000.00 "
1129,AL,"Washington County, Alabama",2021,$3.30 ,$19.22 ,"$1,230,000.00 "
1129,AL,"Washington County, Alabama",2022,$3.73 ,$23.12 ,"$1,753,000.00 "
1131,AL,"Wilcox County, Alabama",2019,$3.04 ,$17.16 ,"$1,114,000.00 "
1131,AL,"Wilcox County, Alabama",2020,$3.12 ,$16.56 ,"$1,140,000.00 "
1131,AL,"Wilcox County, Alabama",2021,$3.41 ,$19.87 ,"$1,169,000.00 "
1131,AL,"Wilcox County, Alabama",2022,$3.85 ,$23.89 ,"$1,500,000.00 "
1133,AL,"Winston County, Alabama",2019,$2.75 ,$15.51 ,"$2,098,000.00 "
1133,AL,"Winston County, Alabama",2020,$3.00 ,$15.90 ,"$1,939,000.00 "
1133,AL,"Winston County, Alabama",2021,$3.16 ,$18.41 ,"$2,306,000.00 "
1133,AL,"Winston County, Alabama",2022,$3.59 ,$22.25 ,"$3,192,000.00 "
2013,AK,"Aleutians East Borough, Alaska",2019,$4.47 ,$25.20 ,"$283,000.00 "
2013,AK,"Aleutians East Borough, Alaska",2020,$4.42 ,$23.46 ,"$235,000.00 "
2013,AK,"Aleutians East Borough, Alaska",2021,$4.78 ,$27.82 ,"$270,000.00 "
2013,AK,"Aleutians East Borough, Alaska",2022,$5.19 ,$32.16 ,"$410,000.00 "
2016,AK,"Aleutians West Census Area, Alaska",2019,$6.52 ,$36.72 ,"$724,000.00 "
2016,AK,"Aleutians West Census Area, Alaska",2020,$4.42 ,$23.46 ,"$406,000.00 "
2016,AK,"Aleutians West Census Area, Alaska",2021,$4.78 ,$27.82 ,"$447,000.00 "
2016,AK,"Aleutians West Census Area, Alaska",2022,$5.19 ,$32.16 ,"$654,000.00 "
2020,AK,"Anchorage Municipality, Alaska",2019,$3.77 ,$21.25 ,"$20,681,000.00 "
2020,AK,"Anchorage Municipality, Alaska",2020,$4.13 ,$21.91 ,"$19,457,000.00 "
2020,AK,"Anchorage Municipality, Alaska",2021,$4.59 ,$26.73 ,"$21,681,000.00 "
2020,AK,"Anchorage Municipality, Alaska",2022,$5.05 ,$31.30 ,"$30,769,000.00 "
2050,AK,"Bethel Census Area, Alaska",2019,$4.09 ,$23.06 ,"$2,853,000.00 "
2050,AK,"Bethel Census Area, Alaska",2020,$4.69 ,$24.87 ,"$2,806,000.00 "
2050,AK,"Bethel Census Area, Alaska",2021,$5.06 ,$29.48 ,"$3,399,000.00 "
2050,AK,"Bethel Census Area, Alaska",2022,$5.50 ,$34.09 ,"$3,867,000.00 "
2060,AK,"Bristol Bay Borough, Alaska",2019,$3.90 ,$21.99 ,"$73,000.00 "
2060,AK,"Bristol Bay Borough, Alaska",2020,$4.42 ,$23.46 ,"$57,000.00 "
2060,AK,"Bristol Bay Borough, Alaska",2021,$4.78 ,$27.82 ,"$67,000.00 "
2060,AK,"Bristol Bay Borough, Alaska",2022,$5.19 ,$32.16 ,"$117,000.00 "
2063,AK,"Chugach Census Area, Alaska",2020,$4.13 ,$21.91 ,"$392,000.00 "
2063,AK,"Chugach Census Area, Alaska",2021,$4.59 ,$26.73 ,"$478,000.00 "
2063,AK,"Chugach Census Area, Alaska",2022,$5.05 ,$31.30 ,"$731,000.00 "
2066,AK,"Copper River Census Area, Alaska",2020,$4.28 ,$22.72 ,"$234,000.00 "
2066,AK,"Copper River Census Area, Alaska",2021,$4.66 ,$27.13 ,"$272,000.00 "
